Arnavutköy Şube Müdürlüğü,İnform,Monoblok,60 kVA (3/3),PDSP33060,62x12 V 25 Ah,6/11/2012,1203P0185004,41.20219015,28.72771701,(90212) 597-8501,https://www.iski.istanbul/web/tr-TR/avrupa-yakasi/arnavutkoy-sube-mudurlugu,Nenehatun  Hasan Tahsin Cd. No:32  34275 Arnavutköy/İstanbul   ,Trakya
Avcılar Şube Müdürlüğü,İnform,Monoblok,20 kVA (3/3),FORTE 33020,32x12V 18 Ah,1/11/2019,1811P1457002,40.97953257,28.73094054,(90212) 509-4490,https://www.iski.istanbul/web/tr-TR/avrupa-yakasi/avcilar-sube-mudurlugu,Denizköşkler  Reşit Paşa Caddesi  Serezli Sk. No:2  34315 Avcılar/İstanbul ,Trakya
Bağcılar Şube Müdürlüğü,Tescom,Monoblok,120 kVA (3/3),DS3120,64X12 V  42 Ah,1/1/2016,163120D0060P0,41.03862374,28.84197827,(90212) 550-7701,http://www.iski.istanbul/web/tr-TR/avrupa-yakasi/bagcilar-sube-mudurlugu,Kirazlı  Mevlana Cd. No:98  34210 Bağcılar/İstanbul    ,Trakya
Bahçelievler Şube Müdürlüğü,Socomec,Monoblok,40 kVA (3/3),MAS2MC340S-01,2x20x12V 80 Ah,1/1/2005,P176408001,41.01244721,28.86497245,(90212) 644-1300,https://www.iski.istanbul/web/tr-TR/avrupa-yakasi/bahcelievler-sube-mudurlugu,Bahçelievler Merkez  Bağcılar Cd. No:77  34180 Bahçelievler/İstanbul   ,Trakya
Bakırköy Şube Müdürlüğü,Huaewı,Monoblok,20 kVA (3/3),UPS2000-G-20KRTL,32x12V 18 Ah,9/15/2015,21022902531EB000067E,40.98081237,28.87169898,(90212) 583-2906,https://www.iski.istanbul/web/tr-TR/avrupa-yakasi/bakirkoy-sube-mudurlugu,Zuhuratbaba  Gençler Cd No:34  34147 Bakırköy/İstanbul    ,Trakya
Başakşehir Şube Müdürlüğü,Socomec,Monoblok,40 kVA (3/3),Greenpower,2x2012V 65 Ah,10/31/2011,P126027002,41.07251362,28.74935285,(90212) 687-2880,https://www.iski.istanbul/web/tr-TR/avrupa-yakasi/basaksehir-sube-mudurlugu,Altınşehir  1102 Sk. No:24  34494 Başakşehir/İstanbul    ,Trakya
Bayrampaşa Şube Müdürlüğü,Socomec,Monoblok,30 kVA (3/3),MAS-MC330S-00,38x12V 65 Ah,1/1/2005,P176445002,41.07424687,28.88560613,(90212) 479-5315,https://www.iski.istanbul/web/tr-TR/avrupa-yakasi/bayrampasa-sube-mudurlugu,Cevatpaşa  Eski Edirne Asf. No:415  34045 Bayrampaşa/İstanbul   ,Trakya
Beşiktaş Şube Müdürlüğü,Socomec,Monoblok,20 kVA (3/3),MAS-MC320S-00,40x12V 17Ah,1/1/2005,P176605001,41.11187148,29.02849956,(90212) 328-1750,https://www.iski.istanbul/web/tr-TR/avrupa-yakasi/besiktas-sube-mudurlugu,Pınar  Balabandere Cd. No:1  34460 Sarıyer/İstanbul    ,Trakya
Büyükçekmece Şube Müdürlüğü,Socomec,Monoblok,40 kVA (3/3),MAS2MC240S,40x12 V 80 Ah,1/1/2008,P102070001,41.0182714,28.63884189,(90212) 852-3589,https://www.iski.istanbul/web/tr-TR/avrupa-yakasi/buyukcekmece-sube-mudurlugu,Barbaros Hayrettinpaşa Mahallesi  1999 Sk No:6  34517 Esenyurt/İstanbul  ,Trakya
Çağlayan Hukuk Binası,Necron,Modüler,210 kVA (3/3),RM300K,160x12V 100 Ah,12/26/2016,I148007812,41.06624552,28.9820913,(90212) 301-5507,https://www.iski.istanbul/web/tr-TR/arama?k=Hukuk,Merkez  34381 Şişli/İstanbul       ,Trakya
Çatalca Şube Müdürlüğü,İnform,,20 kVA (3/3),PDSP33060,62x12 V  17 Ah,1/1/2008,0711D7005190001,41.140197,28.46556581,(90212) 789-3888,https://www.iski.istanbul/web/tr-TR/avrupa-yakasi/catalca-sube-mudurlugu,Ferhatpaşa  Tahta Köprü Sokağı No:20  34888 Çatalca/İstanbul   ,Trakya
Esenler Şube Müdürlüğü  ,Necron,Monoblok,180 kVA (3/3),RM180/30X,,,I01184005907,41.05449242,28.87518256,(90212) 430-4210,https://www.iski.istanbul/web/tr-TR/avrupa-yakasi/kucukcekmece-sube-mudurlugu,Havaalanı  Kışla Cd. No: 3  34225 Esenler/İstanbul   ,Trakya
Esenyurt Şube Müdürlüğü,Emerson,Modüler,150 kVA (3/3),LibertAPM,36x12V 100 Ah,7/25/2012,10802200001,41.02484449,28.68624527,(90212) 301-5100,https://www.iski.istanbul/web/tr-TR/avrupa-yakasi/esenyurt-sube-mudurlugu,İnönü  Doğan Araslı Blv. No:100  34510 Esenyurt/İstanbul         ,Trakya
Eyüpsultan -Fatih Şube Müdürlüğü,Necron,Modüler,180 kVA (3/3),RM300K,190x12V 65 Ah,5/12/2016,I14A010069,41.03783544,28.92884983,(90212) 627-3366,https://www.iski.istanbul/web/tr-TR/avrupa-yakasi/eyup-sube-mudurlugu,Defterdar  Münzevi Kışla Cd. No:2  34050 Eyüpsultan/İstanbul   ,Trakya
Gaziosmanpaşa Şube Müdürlüğü,Socomec,,40 kVA (3/3),MAS2MC340S-00,40X12V 60 Ah,1/1/2008,P102547001,41.0577978,28.9170859,(90212) 615-8727,https://www.iski.istanbul/web/tr-TR/avrupa-yakasi/gaziosmanpasa-sube-mudurlugu,Merkez  Aladağ Sk. No:3  34245 Gaziosmanpaşa/İstanbul    ,Trakya
Güngören Şube Müdürlüğü,Huaewı,Monoblok,20 kVA (3/3),UPS2000-G-20KRTL,32X12 V 18 Ah,5/12/2016,21022902530F30000664,41.0166495,28.89249278,(90212) 482-7457,https://www.iski.istanbul/web/tr-TR/avrupa-yakasi/gungoren-sube-mudurlugu,Tozkoparan  34169 Güngören/İstanbul       ,Trakya
Kağıthane Şube Müdürlüğü,İnform,Monoblok,60 kVA (3/3),ETR33060,2x30X12V 45 Ah,6/30/2014,1310P0691011,41.0858616,28.98262145,(90212) 294-0479,https://www.iski.istanbul/web/tr-TR/avrupa-yakasi/kagithane-sube-mudurlugu,Merkez Mah .  Cendere cad./Gelişim sok No:12  34410 Kağıthane/Kâğıthane/İstanbul ,Trakya
Küçükçekmece Şube Müdürlüğü,İnform,Modüler,60 kVA (3/3),BOXER,2x40x12V 40 Ah,,3hBN121101688770002,41.00273066,28.78079986,(90212) 624-9011,https://www.iski.istanbul/web/tr-TR/avrupa-yakasi/kucukcekmece-sube-mudurlugu,Cumhuriyet  Kule Cd. No:10  34290 Küçükçekmece/İstanbul    ,Trakya
Silivri Şube Müdürlüğü,İnform,Modüler,140 kVA (3/3),MODULERA 200  Kva,2x40x12V 92.8 Ah,10/20/2015,3hBS141223359310001,41.07269771,28.04986262,(90212) 728-8111,https://www.iski.istanbul/web/tr-TR/avrupa-yakasi/silivri-sube-mudurlugu,Alibey  Kartal Sk. No:13  34570 Silivri/İstanbul    ,Trakya
Sultangazi Şube Müdürlüğü,İnform,,60 kVA (3/3),ETR33060,60x12V 38 Ah,1/1/2013,1301P0838001,41.11538356,28.84657874,(90212) 475-1280,https://www.iski.istanbul/web/tr-TR/avrupa-yakasi/sultangazi-sube-mudurlugu,Malkoçoğlu  307 Sokak No:47  34270 Sultangazi/İstanbul    ,Anadolu
Kadıköy Şube Müdürlüğü,İnform,Modüler,40 kVA (3/3),MODULERA,40X12V 26 Ah,1/31/2013,3hBN121101688770003,40.98918433,29.02052187,(90216) 345-0304,https://www.iski.istanbul/web/tr-TR/anadolu-yakasi/kadikoy-sube-mudurlugu,Caferağa Mahallesi Mühürdar Caddesi  Damga Sk. No: 98  34734 Kadıköy/İstanbul,Anadolu
Kartal Şube Müdürlüğü,,,,,,,,40.8946697,29.20028684,(90216) 451-4940,https://www.iski.istanbul/web/tr-TR/anadolu-yakasi/kartal-sube-mudurlugu,Çavuşoğlu  Spor Cd. No:66  34880 Kartal/İstanbul    ,Anadolu
Pendik -Tuzla Şube Müdürlüğü,İnform,Modüler,40 kVA (3/3),MODULERA   ,40X12V 65 Ah,1/31/2013,3hBN121101688770004,40.86502301,29.27013494,(90216) 493-3700,https://www.iski.istanbul/web/tr-TR/anadolu-yakasi/pendik-sube-mudurlugu,Kaynarca  Sahil Blv No:58  34916 Tuzla/İstanbul    ,Anadolu
Sancaktepe Şube Müdürlüğü,İnform,Modüler,120 kVA (3/3),MODULERA,3x40X12V 80 Ah,10/20/2015,3hBS150727574420008,40.98717516,29.22243727,(90216) 622-3723,https://www.iski.istanbul/web/tr-TR/anadolu-yakasi/sancaktepe-sube-mudurlugu,Eyüp Sultan  Abdülhamit Cd. No:76 D:No:76  34885 Dudullu Osb/Sancaktepe/İstanbul ,Anadolu
Sultanbeyli  Şube Müdürlüğü,İnform,Modüler,120 kVA (3/3),MODULERA,,,3hBS131204111770019,40.97456659,29.2568313,(90216) 301-8260,https://www.iski.istanbul/web/tr-TR/anadolu-yakasi/sultanbeyli-sube-mudurlugu,Adil  Mehmet Zahid Kotku Cd. 35-39  34935 Sultanbeyli/İstanbul  ,Anadolu
Şile Şube Müdürlüğü,İnform,Monoblok,20 kVA (3/3),FORTE 33020,60x12V 7 Ah,12/19/2018,1811P1457004,41.17929948,29.61339936,(90216) 712-0979,https://www.iski.istanbul/web/tr-TR/anadolu-yakasi/sile-sube-mudurlugu,Balibey  Fener Cd. No:22  34980 Şile/İstanbul    ,Anadolu
Ümraniye Şube Müdürlüğü,İnform,Modüler,40 kVA (3/3),SD1105,2x40x12V 40 Ah,1/1/2007,3hBN121101688770001,41.02080055,29.1164255,(90216) 328-3300,https://www.iski.istanbul/web/tr-TR/anadolu-yakasi/umraniye-sube-mudurlugu,Armağan Evler  23 Nisan Cd. No:10 D:No:10  34760 Ümraniye/İstanbul ,Anadolu
Üsküdar Şube Müdürlüğü,Socomec,Monoblok,20 kVA (3/3),MAS2MC3205,2x20x12c V 40 Ah,1/1/2009,P101899001,41.01808267,29.04374761,(90216) 651-2133,https://www.iski.istanbul/web/tr-TR/anadolu-yakasi/uskudar-sube-mudurlugu,Altunizade  Tophanelioğlu Cd. No:48  34662 Üsküdar/İstanbul    ,Anadolu
Üsküdar Şube Müdürlüğü,Socomec,Monoblok,20 kVA (3/3),MASMC3205-00,2x20x12c V 40 Ah,1/1/2009,P178733001,41.01808267,29.04374761,(90216) 651-2133,https://www.iski.istanbul/web/tr-TR/anadolu-yakasi/uskudar-sube-mudurlugu,Altunizade  Tophanelioğlu Cd. No:48  34662 Üsküdar/İstanbul    ,Anadolu
Beykoz Şube Müdürlüğü,Tescom,Monoblok,30 kVA (3/3),DS330H,2x30x12 V,1/1/2019,178401,41.0243911,29.0443156,(90216) 301-8450,https://www.iski.istanbul/web/tr-TR/anadolu-yakasi/beykoz-sube-mudurlugu1,Çiğdem Mh. Çiğdem Cd. No: 2 Beykoz / İstanbul,Anadolu
Beykoz Şube Müdürlüğü,Tescom,Monoblok,30 kVA (3/3),DS330H,2x30x12 V,1/1/2019,178400,41.0243911,29.0443156,(90216) 301-8450,https://www.iski.istanbul/web/tr-TR/anadolu-yakasi/beykoz-sube-mudurlugu2,Çiğdem Mh. Çiğdem Cd. No: 2 Beykoz / İstanbul,Anadolu
